rok,miesiac,liczba,imie,plec
213,2007,2,26,Maja,0
214,2007,1,7,Maja,0
215,2006,12,13,Maja,0
216,2006,11,18,Maja,0
217,2006,10,26,Maja,0
218,2006,9,35,Maja,0
219,2006,8,27,Maja,0
220,2006,7,26,Maja,0
221,2006,6,26,Maja,0
222,2006,5,39,Maja,0
223,2006,4,28,Maja,0
224,2006,3,28,Maja,0
225,2006,2,21,Maja,0
226,2006,1,16,Maja,0
227,2005,12,25,Maja,0
228,2005,11,22,Maja,0
229,2005,10,23,Maja,0
230,2005,9,17,Maja,0
231,2005,8,22,Maja,0
232,2005,7,32,Maja,0
233,2005,6,25,Maja,0
234,2005,5,29,Maja,0
235,2005,4,16,Maja,0
236,2005,3,16,Maja,0
237,2005,2,23,Maja,0
238,2005,1,24,Maja,0
239,2004,12,12,Maja,0
240,2004,11,15,Maja,0
241,2004,10,2,Maja,0
242,2004,9,19,Maja,0
243,2004,8,13,Maja,0
244,2004,7,5,Maja,0
245,2014,8,10,Zuzanna,0
246,2014,7,15,Zuzanna,0
247,2014,6,7,Zuzanna,0
248,2014,5,11,Zuzanna,0
249,2014,4,10,Zuzanna,0
250,2014,3,19,Zuzanna,0
251,2014,2,23,Zuzanna,0
252,2014,1,17,Zuzanna,0
253,2013,12,11,Zuzanna,0
254,2013,11,20,Zuzanna,0
255,2013,10,15,Zuzanna,0
256,2013,9,16,Zuzanna,0
257,2013,8,19,Zuzanna,0
258,2013,7,10,Zuzanna,0
259,2013,6,14,Zuzanna,0
260,2013,5,13,Zuzanna,0
261,2013,4,15,Zuzanna,0
262,2013,3,8,Zuzanna,0
263,2013,2,13,Zuzanna,0
264,2013,1,16,Zuzanna,0
265,2012,12,9,Zuzanna,0
266,2012,11,19,Zuzanna,0
267,2012,10,14,Zuzanna,0
268,2012,9,24,Zuzanna,0
269,2012,8,20,Zuzanna,0
270,2012,7,15,Zuzanna,0
271,2012,6,21,Zuzanna,0
272,2012,5,20,Zuzanna,0
273,2012,4,13,Zuzanna,0
274,2012,3,8,Zuzanna,0
275,2012,2,23,Zuzanna,0
276,2012,1,16,Zuzanna,0
277,2011,12,16,Zuzanna,0
278,2011,11,9,Zuzanna,0
279,2011,10,16,Zuzanna,0
280,2011,9,5,Zuzanna,0
281,2011,8,11,Zuzanna,0
282,2011,7,12,Zuzanna,0
283,2011,6,18,Zuzanna,0
284,2011,5,16,Zuzanna,0
285,2011,4,16,Zuzanna,0
286,2011,3,35,Zuzanna,0
287,2011,2,18,Zuzanna,0
288,2011,1,16,Zuzanna,0
289,2010,12,20,Zuzanna,0
290,2010,11,15,Zuzanna,0
291,2010,10,20,Zuzanna,0
292,2010,9,11,Zuzanna,0
293,2010,8,13,Zuzanna,0
294,2010,7,11,Zuzanna,0
295,2010,6,17,Zuzanna,0
296,2010,5,15,Zuzanna,0
297,2010,4,15,Zuzanna,0
298,2010,3,18,Zuzanna,0
299,2010,2,12,Zuzanna,0
300,2010,1,12,Zuzanna,0
301,2009,12,13,Zuzanna,0
302,2009,11,23,Zuzanna,0
303,2009,10,14,Zuzanna,0
304,2009,9,27,Zuzanna,0
305,2009,8,18,Zuzanna,0
306,2009,7,29,Zuzanna,0
307,2009,6,4,Zuzanna,0
308,2009,5,22,Zuzanna,0
309,2009,4,21,Zuzanna,0
310,2009,3,28,Zuzanna,0
311,2009,2,9,Zuzanna,0
312,2009,1,14,Zuzanna,0
313,2008,12,28,Zuzanna,0
314,2008,11,27,Zuzanna,0
315,2008,10,14,Zuzanna,0
316,2008,9,25,Zuzanna,0
317,2008,8,25,Zuzanna,0
318,2008,7,21,Zuzanna,0
319,2008,6,19,Zuzanna,0
320,2008,5,14,Zuzanna,0
321,2008,4,26,Zuzanna,0
322,2008,3,13,Zuzanna,0
323,2008,2,13,Zuzanna,0
324,2008,1,17,Zuzanna,0
325,2007,12,26,Zuzanna,0
326,2007,11,27,Zuzanna,0
327,2007,10,19,Zuzanna,0
328,2007,9,33,Zuzanna,0
329,2007,8,35,Zuzanna,0
330,2007,7,26,Zuzanna,0
331,2007,6,34,Zuzanna,0
332,2007,5,30,Zuzanna,0
333,2007,4,25,Zuzanna,0
334,2007,3,29,Zuzanna,0
335,2007,2,38,Zuzanna,0
336,2007,1,18,Zuzanna,0
337,2006,12,21,Zuzanna,0
