"Product_Name","GPU_Chip","Released","Bus","Memory","GPU_clock","Memory_clock","Shaders.TMUs.ROPs","Manufacturer","Classification"
"Radeon 9000","RV250","Jul 2002","AGP 4x","64 MB, DDR, 128 bit","250 MHz","200 MHz","4 / 1 / 4 / 4","ATI","Desktop"
"Radeon 9000 LE","RV250","Jul 2002","AGP 4x","64 MB, DDR, 128 bit","250 MHz","200 MHz","4 / 1 / 4 / 4","ATI","Desktop"
"Radeon 9000 PRO","RV250","Jul 2002","AGP 4x","64 MB, DDR, 128 bit","275 MHz","275 MHz","4 / 1 / 4 / 4","ATI","Desktop"
"Radeon 9700","R300","Jul 2002","AGP 8x","128 MB, DDR, 256 bit","275 MHz","270 MHz","8 / 4 / 8 / 8","ATI","Desktop"
"Radeon 9700 PRO","R300","Jul 2002","AGP 8x","128 MB, DDR, 256 bit","325 MHz","310 MHz","8 / 4 / 8 / 8","ATI","Desktop"
"Radeon 8500 XT","R250","Jun 2002","AGP 4x","128 MB, DDR, 128 bit","300 MHz","300 MHz","4 / 2 / 8 / 4","ATI","Desktop"
"All-In-Wonder Radeon 7500","RV200","Apr 2002","PCI","64 MB, DDR, 128 bit","260 MHz","180 MHz","2 / 0 / 6 / 2","ATI","Desktop"
"Radeon 7500 Mac Edition","RV200","Apr 2002","AGP 4x","32 MB, DDR, 128 bit","260 MHz","180 MHz","2 / 1 / 6 / 2","ATI","Desktop"
"Radeon 8500 LE","R200","Feb 2002","AGP 4x","64 MB, DDR, 128 bit","250 MHz","250 MHz","4 / 2 / 8 / 4","ATI","Desktop"
"All-In-Wonder Radeon 8500","R200","Nov 2001","AGP 8x","128 MB, DDR, 128 bit","230 MHz","190 MHz","4 / 2 / 8 / 4","ATI","Desktop"
"All-In-Wonder Radeon 8500DV","R200","Aug 2001","AGP 8x","64 MB, DDR, 128 bit","230 MHz","190 MHz","4 / 2 / 8 / 4","ATI","Desktop"
"Radeon 7500","RV200","Aug 2001","AGP 4x","64 MB, DDR, 128 bit","290 MHz","230 MHz","2 / 1 / 6 / 2","ATI","Desktop"
"Radeon 7500 LE","RV200","Aug 2001","AGP 4x","64 MB, DDR, 128 bit","250 MHz","175 MHz","2 / 1 / 6 / 2","ATI","Desktop"
"Radeon 8500","R200","Aug 2001","AGP 4x","64 MB, DDR, 128 bit","250 MHz","250 MHz","4 / 2 / 8 / 4","ATI","Desktop"
"Radeon DDR VIVO","Rage 6","Aug 2001","AGP 4x","64 MB, DDR, 128 bit","183 MHz","183 MHz","2 / 1 / 6 / 2","ATI","Desktop"
"Radeon DDR VIVO OEM","Rage 6","Aug 2001","AGP 4x","64 MB, DDR, 128 bit","166 MHz","166 MHz","2 / 1 / 6 / 2","ATI","Desktop"
"Radeon DDR VIVO SE","Rage 6","Aug 2001","AGP 4x","64 MB, DDR, 128 bit","187 MHz","180 MHz","2 / 1 / 6 / 2","ATI","Desktop"
"Radeon LE","Rage 6","May 2001","AGP 4x","32 MB, DDR, 128 bit","148 MHz","148 MHz","2 / 1 / 6 / 2","ATI","Desktop"
"Radeon 7000","RV100","Feb 2001","AGP 4x","32 MB, DDR, 64 bit","183 MHz","183 MHz","1 / 0 / 3 / 1","ATI","Desktop"
"Radeon 7000 PCI","RV100","Feb 2001","PCI","32 MB, DDR, 64 bit","133 MHz","133 MHz","1 / 0 / 3 / 1","ATI","Desktop"
"Radeon VE","Rage 6","Feb 2001","AGP 4x","32 MB, DDR, 64 bit","183 MHz","183 MHz","1 / 0 / 3 / 1","ATI","Desktop"
"Radeon VE PCI","Rage 6","Feb 2001","PCI","32 MB, DDR, 64 bit","183 MHz","183 MHz","1 / 0 / 3 / 1","ATI","Desktop"
"All-In-Wonder Radeon 7200","R100","Jul 2000","PCI","32 MB, DDR, 128 bit","166 MHz","166 MHz","2 / 1 / 6 / 2","ATI","Desktop"
"Radeon 7200","R100","Jun 2000","AGP 4x","32 MB, SDR, 128 bit","143 MHz","143 MHz","2 / 1 / 6 / 2","ATI","Desktop"
"Radeon SDR","Rage 6","Jun 2000","AGP 4x","32 MB, SDR, 128 bit","166 MHz","166 MHz","2 / 1 / 6 / 2","ATI","Desktop"
"Radeon 7200","R100","Apr 2000","AGP 4x","32 MB, DDR, 128 bit","166 MHz","166 MHz","2 / 1 / 6 / 2","ATI","Desktop"
"Radeon 7200 64 MB","R100","Apr 2000","AGP 4x","64 MB, DDR, 128 bit","166 MHz","166 MHz","2 / 1 / 6 / 2","ATI","Desktop"
"Radeon DDR","Rage 6","Apr 2000","AGP 4x","32 MB, DDR, 128 bit","166 MHz","166 MHz","2 / 1 / 6 / 2","ATI","Desktop"
"Rage Fury MAXX","Rage 128 Pro","Oct 1999","AGP 4x","32 MB x2, SDR, 128 bit x2","125 MHz","143 MHz","2 x2 / 0 / 2 x2 / 2 x2","ATI","Desktop"
"Rage 128 PRO","Rage 128 Pro","Aug 1999","AGP 4x","32 MB, SDR, 128 bit","118 MHz","143 MHz","2 / 0 / 2 / 2","ATI","Desktop"
"Rage 128 PRO Ultra","Rage 128 Pro","Aug 1999","AGP 4x","32 MB, SDR, 64 bit","130 MHz","130 MHz","2 / 0 / 2 / 2","ATI","Desktop"
"Rage 128 Ultra","Rage 128 Pro","Aug 1999","AGP 4x","32 MB, SDR, 64 bit","119 MHz","119 MHz","2 / 0 / 2 / 2","ATI","Desktop"
"Rage Fury","Rage 128 Pro","Aug 1999","AGP 4x","32 MB, SDR, 128 bit","80 MHz","60 MHz","2 / 0 / 2 / 2","ATI","Desktop"
"All-In-Wonder 128","Rage 128 GL","Jun 1999","PCI","16 MB, SGR, 128 bit","90 MHz","90 MHz","4 / 1 / 4 / 4","ATI","Desktop"
"All-In-Wonder 128 PRO","Rage 128 Pro","Jun 1999","AGP 4x","32 MB, SGR, 128 bit","120 MHz","120 MHz","4 / 1 / 4 / 4","ATI","Desktop"
"Rage 128 VR","Rage 128","Aug 1998","AGP 2x","32 MB, SDR, 128 bit","80 MHz","63 MHz","2 / 0 / 2 / 2","ATI","Desktop"
"3D Rage LT PRO AGP","Rage LT","Nov 1997","AGP 2x","8 MB, SDR, 64 bit","75 MHz","100 MHz","1 / 0 / 1 / 1","ATI","Desktop"
"3D Rage PRO","3D Rage Pro","Mar 1997","AGP 2x","2 MB, SDR, 64 bit","75 MHz","75 MHz","1 / 0 / 1 / 1","ATI","Desktop"
"3D Rage PRO PCI","3D Rage Pro","Mar 1997","PCI","8 MB, SDR, 64 bit","75 MHz","75 MHz","1 / 0 / 1 / 1","ATI","Desktop"
"3D Rage PRO Turbo","Rage Pro Turbo","Mar 1997","AGP 2x","4 MB, SDR, 64 bit","75 MHz","75 MHz","1 / 0 / 1 / 1","ATI","Desktop"
"3D Rage PRO Turbo PCI","Rage Pro Turbo","Mar 1997","PCI","8 MB, SDR, 64 bit","75 MHz","75 MHz","1 / 0 / 1 / 1","ATI","Desktop"
"3D Rage II","Mach64 GT","Sep 1996","PCI","4 MB, SDR, 64 bit","60 MHz","83 MHz","1 / 0 / 1 / 1","ATI","Desktop"
"3D Rage II+ DVD","Mach64 GTB","Sep 1996","PCI","4 MB, SDR, 64 bit","60 MHz","83 MHz","1 / 0 / 1 / 1","ATI","Desktop"
"3D Rage IIC AGP","Mach64 GT IIC","Sep 1996","AGP 2x","4 MB, SDR, 64 bit","60 MHz","83 MHz","1 / 0 / 1 / 1","ATI","Desktop"
"3D Rage IIC PCI","Mach64 GT IIC","Sep 1996","PCI","2 MB, SDR, 64 bit","60 MHz","83 MHz","1 / 0 / 1 / 1","ATI","Desktop"
"3D Rage","Mach64 CX","Nov 1995","PCI","2 MB, EDO, 64 bit","40 MHz","40 MHz","1 / 0 / 1 / 1","ATI","Desktop"
"Mach 64 GX","Mach64 GX","Jan 1995","PCI","2 MB, VRAM, 64 bit","10 MHz","10 MHz","1 / 0 / 0 / 1","ATI","Desktop"
"Graphics Ultra Pro","Mach32","Jan 1993","PCI","1 MB, VRAM, 64 bit","10 MHz","10 MHz","1 / 0 / 0 / 1","ATI","Desktop"
"Graphics Ultra Pro PCI","Mach32","Jan 1993","PCI","1 MB, DRAM, 32 bit","66 MHz","83 MHz","1 / 0 / 0 / 1","ATI","Desktop"
"Graphics Ultra","38800-1","Jan 1992","PCI","1 MB, VRAM, 32 bit","10 MHz","10 MHz","1 / 0 / 0 / 1","ATI","Desktop"
"Graphics Ultra +","Mach32","Jan 1992","PCI","1 MB, DRAM, 64 bit","10 MHz","10 MHz","1 / 0 / 0 / 1","ATI","Desktop"
"Graphics Vantage","38800-1","Jan 1992","PCI","1 MB, DRAM, 32 bit","10 MHz","10 MHz","1 / 0 / 0 / 1","ATI","Desktop"
"VGA Wonder XL24","28800-6","Jan 1992","PCI","1 MB, DRAM, 32 bit","10 MHz","10 MHz","1 / 0 / 0 / 1","ATI","Desktop"
"VGA Wonder+","28800-5","Nov 1990","PCI","1 MB, DRAM, 32 bit","10 MHz","10 MHz","1 / 0 / 0 / 1","ATI","Desktop"
"Radeon 8500 X4","R200","Unreleased","PCI-X","64 MB x4, DDR, 64 bit x4","250 MHz","250 MHz","4 x4 / 2 x4 / 8 x4 / 4 x4","ATI","Desktop"
"Radeon 9800 PRO MAXX","R350","Unreleased","AGP 8x","128 MB x2, DDR, 256 bit x2","380 MHz","340 MHz","8 x2 / 4 x2 / 8 x2 / 8 x2","ATI","Desktop"
"Radeon DDR MAXX","Rage 6","Unreleased","AGP 4x","64 MB x2, DDR, 128 bit x2","183 MHz","183 MHz","2 x2 / 1 x2 / 6 x2 / 2 x2","ATI","Desktop"
"Radeon HD 2900 XTX","R600","Unreleased","PCIe 1.0 x16","512 MB, GDDR3, 512 bit","743 MHz","828 MHz","320 / 16 / 16","ATI","Desktop"
"Radeon HD 3850 X3","RV670","Unreleased","PCIe 2.0 x16","512 MB x3, GDDR3, 256 bit x3","669 MHz","850 MHz","320 x3 / 16 x3 / 16 x3","ATI","Desktop"
"Radeon HD 5950","Hemlock","Unreleased","PCIe 2.0 x16","1024 MB x2, GDDR5, 256 bit x2","725 MHz","1000 MHz","1440 x2 / 72 x2 / 32 x2","ATI","Desktop"
"Radeon X1600 XT Dual","RV530","Unreleased","PCIe 1.0 x16","256 MB x2, GDDR3, 128 bit x2","590 MHz","690 MHz","12 x2 / 5 x2 / 4 x2 / 4 x2","ATI","Desktop"
"GeForce GTX 960","GM206","Jan 2015","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","1127 MHz","1753 MHz","1024 / 64 / 32","NVIDIA","Desktop"
"GeForce GTX 970","GM204","Sep 2014","PCIe 3.0 x16","4096 MB, GDDR5, 256 bit","1050 MHz","1753 MHz","1664 / 104 / 56","NVIDIA","Desktop"
"GeForce GTX 980","GM204","Sep 2014","PCIe 3.0 x16","4096 MB, GDDR5, 256 bit","1127 MHz","1753 MHz","2048 / 128 / 64","NVIDIA","Desktop"
"GeForce GTX 660 Rev. 2","GK104","Sep 2014","PCIe 3.0 x16","2048 MB, GDDR5, 192 bit","993 MHz","1502 MHz","960 / 80 / 24","NVIDIA","Desktop"
"GeForce GT 710","GF119","Aug 2014","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","810 MHz","898 MHz","48 / 8 / 4","NVIDIA","Desktop"
"GeForce GT 730","GK208","Jun 2014","PCIe 2.0 x8","1024 MB, GDDR5, 64 bit","902 MHz","1250 MHz","384 / 16 / 8","NVIDIA","Desktop"
"GeForce GT 730","GF108","Jun 2014","PCIe 2.0 x16","1024 MB, DDR3, 128 bit","700 MHz","900 MHz","96 / 16 / 4","NVIDIA","Desktop"
"GeForce GT 740","GK107","May 2014","PCIe 3.0 x16","1024 MB, GDDR5, 128 bit","993 MHz","1250 MHz","384 / 32 / 16","NVIDIA","Desktop"
"GeForce GTX TITAN Z","GK110B","May 2014","PCIe 3.0 x16","6144 MB x2, GDDR5, 384 bit x2","705 MHz","1750 MHz","2880 x2 / 240 x2 / 48 x2","NVIDIA","Desktop"
"GeForce GT 705","GF119","Mar 2014","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","874 MHz","825 MHz","48 / 8 / 4","NVIDIA","Desktop"
"GeForce GT 710","GK208","Mar 2014","PCIe 2.0 x8","512 MB, DDR3, 64 bit","823 MHz","900 MHz","192 / 16 / 8","NVIDIA","Desktop"
"GeForce GT 720","GK208","Mar 2014","PCIe 2.0 x8","1024 MB, DDR3, 64 bit","797 MHz","800 MHz","192 / 16 / 8","NVIDIA","Desktop"
"GeForce GTX 745 OEM","GM107","Feb 2014","PCIe 3.0 x16","1024 MB, DDR3, 128 bit","1033 MHz","900 MHz","384 / 24 / 16","NVIDIA","Desktop"
"GeForce GTX 750","GM107","Feb 2014","PCIe 3.0 x16","1024 MB, GDDR5, 128 bit","1020 MHz","1253 MHz","512 / 32 / 16","NVIDIA","Desktop"
"GeForce GTX 750 Ti","GM107","Feb 2014","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","1020 MHz","1350 MHz","640 / 40 / 16","NVIDIA","Desktop"
"GeForce GTX TITAN BLACK","GK110B","Feb 2014","PCIe 3.0 x16","6144 MB, GDDR5, 384 bit","889 MHz","1750 MHz","2880 / 240 / 48","NVIDIA","Desktop"
"GeForce GTX 650","GK106","Nov 2013","PCIe 3.0 x16","1024 MB, GDDR5, 128 bit","1058 MHz","1250 MHz","384 / 32 / 16","NVIDIA","Desktop"
"GeForce GTX 760 X2","GK104","Nov 2013","PCIe 3.0 x16","2048 MB x2, GDDR5, 256 bit x2","1006 MHz","1501 MHz","1152 x2 / 96 x2 / 32 x2","NVIDIA","Desktop"
"GeForce GTX 780 Ti","GK110B","Nov 2013","PCIe 3.0 x16","3072 MB, GDDR5, 384 bit","875 MHz","1750 MHz","2880 / 240 / 48","NVIDIA","Desktop"
"GeForce GT 635 OEM","GK208","Oct 2013","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","967 MHz","900 MHz","384 / 16 / 8","NVIDIA","Desktop"
"GeForce GTX 760 Ti OEM","GK104","Sep 2013","PCIe 3.0 x16","2048 MB, GDDR5, 256 bit","915 MHz","1502 MHz","1344 / 112 / 32","NVIDIA","Desktop"
"GeForce GTX 780 Rev. 2","GK110B","Sep 2013","PCIe 3.0 x16","3072 MB, GDDR5, 384 bit","863 MHz","1502 MHz","2304 / 192 / 48","NVIDIA","Desktop"
"GeForce GTX 760 OEM Rebrand","GK104","Aug 2013","PCIe 3.0 x16","3072 MB, GDDR5, 256 bit","823 MHz","1400 MHz","1152 / 96 / 32","NVIDIA","Desktop"
"GeForce GTX 760 Ti OEM Rebrand","GK104","Aug 2013","PCIe 3.0 x16","2048 MB, GDDR5, 256 bit","928 MHz","1550 MHz","1344 / 112 / 32","NVIDIA","Desktop"
"GeForce GTX 760 OEM","GK104","Jun 2013","PCIe 3.0 x16","1536 MB, GDDR5, 192 bit","823 MHz","1400 MHz","1152 / 96 / 24","NVIDIA","Desktop"
"GeForce GTX 760","GK104","Jun 2013","PCIe 3.0 x16","2048 MB, GDDR5, 256 bit","980 MHz","1502 MHz","1152 / 96 / 32","NVIDIA","Desktop"
"GeForce GTX 770","GK104","May 2013","PCIe 3.0 x16","2048 MB, GDDR5, 256 bit","1046 MHz","1753 MHz","1536 / 128 / 32","NVIDIA","Desktop"
"GeForce GT 630 Rev. 2","GK208","May 2013","PCIe 2.0 x8","2048 MB, DDR3, 64 bit","902 MHz","900 MHz","384 / 16 / 8","NVIDIA","Desktop"
"GeForce GT 630 Rev. 2 PCIe x8","GK208","May 2013","PCIe 2.0 x8","2048 MB, DDR3, 64 bit","902 MHz","900 MHz","384 / 16 / 8","NVIDIA","Desktop"
"GeForce GT 640 Rev. 2","GK208","May 2013","PCIe 2.0 x8","1024 MB, GDDR5, 64 bit","1046 MHz","1252 MHz","384 / 16 / 8","NVIDIA","Desktop"
"GeForce GTX 780","GK110","May 2013","PCIe 3.0 x16","3072 MB, GDDR5, 384 bit","863 MHz","1502 MHz","2304 / 192 / 48","NVIDIA","Desktop"
"GeForce GTX 645 OEM","GK106","Apr 2013","PCIe 3.0 x16","1024 MB, GDDR5, 128 bit","823 MHz","1000 MHz","576 / 48 / 16","NVIDIA","Desktop"
"GeForce GTX 680 Mac Edition","GK104","Apr 2013","PCIe 2.0 x16","2048 MB, GDDR5, 256 bit","1006 MHz","1502 MHz","1536 / 128 / 32","NVIDIA","Desktop"
"GeForce GTX 650 Ti OEM","GK106","Mar 2013","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","928 MHz","1350 MHz","768 / 64 / 16","NVIDIA","Desktop"
"GeForce GTX 650 Ti Boost","GK106","Mar 2013","PCIe 3.0 x16","2048 MB, GDDR5, 192 bit","980 MHz","1502 MHz","768 / 64 / 24","NVIDIA","Desktop"
"GeForce GTX TITAN","GK110","Feb 2013","PCIe 3.0 x16","6144 MB, GDDR5, 384 bit","836 MHz","1502 MHz","2688 / 224 / 48","NVIDIA","Desktop"
"GeForce GT 625 OEM","GF119","Feb 2013","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","874 MHz","825 MHz","48 / 8 / 4","NVIDIA","Desktop"
"GeForce 505 OEM","GT216","Feb 2013","PCIe 1.0 x16","1024 MB, DDR3, 128 bit","615 MHz","700 MHz","24 / 12 / 8","NVIDIA","Desktop"
"GeForce 505 OEM","GT218","Jan 2013","PCIe 1.0 x16","512 MB, DDR3, 64 bit","589 MHz","600 MHz","16 / 8 / 4","NVIDIA","Desktop"
"GeForce GTX 650 Ti","GK106","Oct 2012","PCIe 3.0 x16","1024 MB, GDDR5, 128 bit","928 MHz","1350 MHz","768 / 64 / 16","NVIDIA","Desktop"
"GeForce GT 610 OEM","GF119","Sep 2012","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","550 MHz","500 MHz","48 / 8 / 4","NVIDIA","Desktop"
"GeForce GTX 650","GK107","Sep 2012","PCIe 3.0 x16","1024 MB, GDDR5, 128 bit","1058 MHz","1250 MHz","384 / 32 / 16","NVIDIA","Desktop"
"GeForce GTX 660","GK106","Sep 2012","PCIe 3.0 x16","2048 MB, GDDR5, 192 bit","980 MHz","1502 MHz","960 / 80 / 24","NVIDIA","Desktop"
"GeForce GTX 660 OEM","GK104","Aug 2012","PCIe 3.0 x16","1536 MB, GDDR5, 192 bit","823 MHz","1400 MHz","1152 / 96 / 24","NVIDIA","Desktop"
"GeForce GTX 660 OEM","GK104","Aug 2012","PCIe 3.0 x16","2048 MB, GDDR5, 256 bit","823 MHz","1400 MHz","1152 / 96 / 32","NVIDIA","Desktop"
"GeForce GT 520 OEM","GF119","Aug 2012","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","589 MHz","500 MHz","96 / 16 / 4","NVIDIA","Desktop"
"GeForce GTX 660 Ti","GK104","Aug 2012","PCIe 3.0 x16","2048 MB, GDDR5, 192 bit","915 MHz","1502 MHz","1344 / 112 / 24","NVIDIA","Desktop"
"GeForce GTS 450 Rev. 3","GF116","Jul 2012","PCIe 2.0 x16","1024 MB, DDR3, 128 bit","783 MHz","700 MHz","144 / 24 / 16","NVIDIA","Desktop"
"GeForce 9400 GT Rev. 3","GT218","Jun 2012","PCIe 2.0 x16","128 MB, DDR2, 64 bit","589 MHz","600 MHz","16 / 8 / 4","NVIDIA","Desktop"
"GeForce GT 640","GK107","Jun 2012","PCIe 3.0 x16","2048 MB, DDR3, 128 bit","902 MHz","891 MHz","384 / 32 / 16","NVIDIA","Desktop"
"GeForce GT 620","GF108","May 2012","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","700 MHz","900 MHz","96 / 16 / 4","NVIDIA","Desktop"
"GeForce GT 630","GF108","May 2012","PCIe 2.0 x16","1024 MB, DDR3, 128 bit","810 MHz","900 MHz","96 / 16 / 4","NVIDIA","Desktop"
"GeForce GTX 670","GK104","May 2012","PCIe 3.0 x16","2048 MB, GDDR5, 256 bit","915 MHz","1502 MHz","1344 / 112 / 32","NVIDIA","Desktop"
"GeForce GTX 690","GK104","May 2012","PCIe 3.0 x16","2048 MB x2, GDDR5, 256 bit x2","915 MHz","1502 MHz","1536 x2 / 128 x2 / 32 x2","NVIDIA","Desktop"
"GeForce GT 630 OEM","GK107","Apr 2012","PCIe 3.0 x16","1024 MB, DDR3, 128 bit","875 MHz","891 MHz","192 / 16 / 16","NVIDIA","Desktop"
"GeForce GT 640 OEM","GK107","Apr 2012","PCIe 3.0 x16","2048 MB, DDR3, 128 bit","797 MHz","891 MHz","384 / 32 / 16","NVIDIA","Desktop"
"GeForce GT 640 OEM Rebrand","GF116","Apr 2012","PCIe 2.0 x16","1536 MB, DDR3, 192 bit","720 MHz","800 MHz","144 / 24 / 24","NVIDIA","Desktop"
"GeForce GT 645 OEM","GF114","Apr 2012","PCIe 2.0 x16","1024 MB, GDDR5, 192 bit","776 MHz","957 MHz","288 / 48 / 24","NVIDIA","Desktop"
"GeForce 605 OEM","GF119","Apr 2012","PCIe 2.0 x16","512 MB, DDR3, 64 bit","523 MHz","897 MHz","48 / 8 / 4","NVIDIA","Desktop"
"GeForce GT 610","GF119","Apr 2012","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","810 MHz","898 MHz","48 / 8 / 4","NVIDIA","Desktop"
"GeForce GT 610 PCI","GF119","Apr 2012","PCI","512 MB, DDR3, 64 bit","810 MHz","667 MHz","48 / 8 / 4","NVIDIA","Desktop"
"GeForce GT 610 PCIe x1","GF119","Apr 2012","PCIe 2.0 x1","512 MB, DDR3, 64 bit","810 MHz","500 MHz","48 / 8 / 4","NVIDIA","Desktop"
"GeForce GT 620 OEM","GF119","Apr 2012","PCIe 2.0 x16","512 MB, DDR3, 64 bit","810 MHz","898 MHz","48 / 8 / 4","NVIDIA","Desktop"
"GeForce GTX 680","GK104","Mar 2012","PCIe 3.0 x16","2048 MB, GDDR5, 256 bit","1006 MHz","1502 MHz","1536 / 128 / 32","NVIDIA","Desktop"
"GeForce GTX 560 SE","GF114","Feb 2012","PCIe 2.0 x16","1024 MB, GDDR5, 192 bit","736 MHz","957 MHz","288 / 48 / 24","NVIDIA","Desktop"
"GeForce GT 520 OEM","GF108","Feb 2012","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","700 MHz","667 MHz","48 / 8 / 2","NVIDIA","Desktop"
"GeForce GTX 560 OEM","GF110","Nov 2011","PCIe 2.0 x16","1280 MB, GDDR5, 320 bit","552 MHz","802 MHz","384 / 44 / 40","NVIDIA","Desktop"
"GeForce GTX 560 Ti 448","GF110","Nov 2011","PCIe 2.0 x16","1280 MB, GDDR5, 320 bit","732 MHz","950 MHz","448 / 56 / 40","NVIDIA","Desktop"
"GeForce 510 OEM","GF119","Sep 2011","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","523 MHz","898 MHz","48 / 8 / 4","NVIDIA","Desktop"
"GeForce GTX 460 v2","GF114","Sep 2011","PCIe 2.0 x16","1024 MB, GDDR5, 192 bit","778 MHz","1002 MHz","336 / 56 / 24","NVIDIA","Desktop"
"GeForce GTX 560","GF114","May 2011","PCIe 2.0 x16","1024 MB, GDDR5, 256 bit","810 MHz","1000 MHz","336 / 56 / 32","NVIDIA","Desktop"
"GeForce GT 530 OEM","GF108","May 2011","PCIe 2.0 x16","1024 MB, DDR3, 128 bit","700 MHz","900 MHz","96 / 16 / 4","NVIDIA","Desktop"
"GeForce GT 545","GF116","May 2011","PCIe 2.0 x16","1536 MB, DDR3, 192 bit","720 MHz","800 MHz","144 / 24 / 16","NVIDIA","Desktop"
"GeForce GT 545 OEM","GF116","May 2011","PCIe 2.0 x16","1024 MB, GDDR5, 128 bit","870 MHz","999 MHz","144 / 24 / 16","NVIDIA","Desktop"
"GeForce GTX 555 OEM","GF114","May 2011","PCIe 2.0 x16","1024 MB, GDDR5, 192 bit","736 MHz","957 MHz","288 / 48 / 24","NVIDIA","Desktop"
"GeForce 315 OEM","GT215","Apr 2011","PCIe 2.0 x16","256 MB, DDR2, 64 bit","506 MHz","350 MHz","48 / 16 / 4","NVIDIA","Desktop"
"GeForce GT 520","GF119","Apr 2011","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","810 MHz","900 MHz","48 / 8 / 4","NVIDIA","Desktop"
"GeForce GT 520 PCI","GF119","Apr 2011","PCI","1024 MB, DDR3, 64 bit","810 MHz","900 MHz","48 / 8 / 4","NVIDIA","Desktop"
"GeForce GT 520 PCIe x1","GF119","Apr 2011","PCIe 2.0 x1","1024 MB, DDR3, 64 bit","810 MHz","900 MHz","48 / 8 / 4","NVIDIA","Desktop"
"GeForce GTX 560 Ti OEM","GF110","Mar 2011","PCIe 2.0 x16","1280 MB, GDDR5, 256 bit","732 MHz","950 MHz","352 / 44 / 40","NVIDIA","Desktop"
"GeForce GTX 590","GF110","Mar 2011","PCIe 2.0 x16","1536 MB x2, GDDR5, 384 bit x2","608 MHz","854 MHz","512 x2 / 64 x2 / 48 x2","NVIDIA","Desktop"
"GeForce GTS 450 Rev. 2","GF116","Mar 2011","PCIe 2.0 x16","1024 MB, GDDR5, 128 bit","783 MHz","902 MHz","192 / 32 / 16","NVIDIA","Desktop"
"GeForce GTX 550 Ti","GF116","Mar 2011","PCIe 2.0 x16","1024 MB, GDDR5, 192 bit","900 MHz","1026 MHz","192 / 32 / 24","NVIDIA","Desktop"
"GeForce 9300 GS Rev. 2","GT218","Mar 2011","PCIe 2.0 x16","256 MB, DDR2, 64 bit","589 MHz","333 MHz","16 / 8 / 4","NVIDIA","Desktop"
"GeForce GTX 460 X2","GF104","Mar 2011","PCIe 2.0 x16","1024 MB x2, GDDR5, 256 bit x2","701 MHz","900 MHz","336 x2 / 56 x2 / 32 x2","NVIDIA","Desktop"
"GeForce GTX 560 Ti OEM","GF114","Mar 2011","PCIe 2.0 x16","1024 MB, GDDR5, 256 bit","823 MHz","1002 MHz","384 / 64 / 32","NVIDIA","Desktop"
"GeForce 315 OEM","GT218","Feb 2011","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","589 MHz","600 MHz","16 / 8 / 4","NVIDIA","Desktop"
"GeForce GT 440 Mac Edition","GF108","Feb 2011","PCIe 1.0 x16","1024 MB, DDR3, 128 bit","810 MHz","667 MHz","96 / 16 / 4","NVIDIA","Desktop"
"GeForce GT 440","GF108","Feb 2011","PCIe 2.0 x16","1024 MB, DDR3, 128 bit","810 MHz","900 MHz","96 / 16 / 4","NVIDIA","Desktop"
"GeForce GTX 560 Ti","GF114","Jan 2011","PCIe 2.0 x16","1024 MB, GDDR5, 256 bit","823 MHz","1002 MHz","384 / 64 / 32","NVIDIA","Desktop"
"GeForce GTX 560 Ti X2","GF114","Jan 2011","PCIe 2.0 x16","1024 MB x2, GDDR5, 256 bit x2","850 MHz","1002 MHz","384 x2 / 64 x2 / 32 x2","NVIDIA","Desktop"
"GeForce GTX 570","GF110","Dec 2010","PCIe 2.0 x16","1280 MB, GDDR5, 320 bit","732 MHz","950 MHz","480 / 60 / 40","NVIDIA","Desktop"
"GeForce GTX 460 SE","GF104","Nov 2010","PCIe 2.0 x16","1024 MB, GDDR5, 256 bit","650 MHz","850 MHz","288 / 48 / 32","NVIDIA","Desktop"
"GeForce GTX 580","GF110","Nov 2010","PCIe 2.0 x16","1536 MB, GDDR5, 384 bit","772 MHz","1002 MHz","512 / 64 / 48","NVIDIA","Desktop"
"GeForce GT 430","GF108","Oct 2010","PCIe 2.0 x16","512 MB, DDR3, 64 bit","700 MHz","800 MHz","96 / 16 / 4","NVIDIA","Desktop"
"GeForce GT 430 OEM","GF108","Oct 2010","PCIe 2.0 x16","2048 MB, DDR3, 128 bit","700 MHz","800 MHz","96 / 16 / 4","NVIDIA","Desktop"
"GeForce GT 440 OEM","GF106","Oct 2010","PCIe 2.0 x16","1536 MB, DDR3, 192 bit","810 MHz","900 MHz","144 / 24 / 24","NVIDIA","Desktop"
