"";"Group.1";"x";"procent"
"1";0;12700800;0,466222645099905
"2";0,166666666666667;8640;0,000317158261972724
"3";0,2;259200;0,00951474785918173
"4";0,25;1900800;0,0697748176339994
"5";0,333333333333333;4762800;0,174833491912464
"6";0,4;172800;0,00634316523945449
"7";0,5;4989600;0,183158896289248
"8";0,666666666666667;950400;0,0348874088169997
"9";1;1496880;0,0549476688867745
