"Procesor","Podstawka","Wydajność","Cena","Opłacalność","Producent","Seria","Liczba_Rdzeni","Rodz_Wydajności"
"AMD A10 7700K OEM","FM2","1323",569,2.33,"AMD","A10","4","jednordzeniowa"
"AMD X6 FX-6100","AM3+","904",389.23,2.32,"AMD","X6","6","jednordzeniowa"
"AMD A10 5700","FM2","1049",462,2.27,"AMD","A10","4","jednordzeniowa"
"AMD A10 7800","FM2","1366",609,2.24,"AMD","A10","4","jednordzeniowa"
"AMD A10 6790K","FM2","1197",551.71,2.17,"AMD","A10","4","jednordzeniowa"
"AMD A10 6800K","FM2","1189",555.01,2.14,"AMD","A10","4","jednordzeniowa"
"AMD A10 7850K","FM2","1408",665,2.12,"AMD","A10","4","jednordzeniowa"
"Intel Core i5 4460 OEM","LGA 1150","1677",796.94,2.1,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4460","LGA 1150","1677",799,2.1,"Intel","Core","4","jednordzeniowa"
"AMD X6 FX-6350","AM3+","1164",558.96,2.08,"AMD","X6","6","jednordzeniowa"
"Intel Core i5 4690 OEM","LGA 1150","1905",921,2.07,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4590","LGA 1150","1813",877.57,2.07,"Intel","Core","4","jednordzeniowa"
"AMD A10 6700","FM2","1163",566.5,2.05,"AMD","A10","4","jednordzeniowa"
"AMD X6 FX-6350 OEM","AM3+","1164",574.3,2.03,"AMD","X6","6","jednordzeniowa"
"Intel Core i5 4570 OEM","LGA 1150","1765",882,2,"Intel","Core","4","jednordzeniowa"
"AMD Athlon II X4 645","AM3","898",449,2,"AMD","Athlon","4","jednordzeniowa"
"Intel Core i5 4440 OEM","LGA 1150","1618",812.48,1.99,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4590S","LGA 1150","1758",884.88,1.99,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4440","LGA 1150","1618",816.33,1.98,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4570","LGA 1150","1765",896,1.97,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4690","LGA 1150","1905",969,1.97,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4570S","LGA 1150","1690",861,1.96,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3470 OEM","LGA 1155","1641",836.7,1.96,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4570S OEM","LGA 1150","1690",862.63,1.96,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3470","LGA 1155","1641",855.5,1.92,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 3820 OEM","LGA 2011","2254",1183,1.91,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3570","LGA 1155","1749",919.97,1.9,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4670 OEM","LGA 1150","1857",981.5,1.89,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4670","LGA 1150","1857",984.58,1.89,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4430","LGA 1150","1571",833,1.89,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4690S","LGA 1150","1842",978.5,1.88,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4430 OEM","LGA 1150","1571",836,1.88,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4790","LGA 1150","2524",1356.55,1.86,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3570 OEM","LGA 1155","1749",944,1.85,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3340","LGA 1155","1516",827.1,1.83,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4771 OEM","LGA 1150","2485",1359.77,1.83,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4690K","LGA 1150","1944",1069,1.82,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4670K","LGA 1150","1918",1059,1.81,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4790S OEM","LGA 1150","2418",1336.48,1.81,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4790K","LGA 1150","2809",1554,1.81,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3330","LGA 1155","1469",819,1.79,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4790T OEM","LGA 1150","2395",1336.48,1.79,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 3820","LGA 2011","2254",1258.1,1.79,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4460S OEM","LGA 1150","1597",893.3,1.79,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4770","LGA 1150","2472",1384,1.79,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3340 OEM","LGA 1155","1516",849,1.79,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4670K OEM","LGA 1150","1918",1077,1.78,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4790S","LGA 1150","2418",1366,1.77,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4440S OEM","LGA 1150","1511",854,1.77,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 3770 OEM","LGA 1155","2344",1328.35,1.76,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4440S","LGA 1150","1511",859,1.76,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3470S","LGA 1155","1548",880.3,1.76,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4770S","LGA 1150","2352",1338.36,1.76,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3330 OEM","LGA 1155","1469",836,1.76,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4771","LGA 1150","2485",1414.5,1.76,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4820K OEM","LGA 2011","2458",1401.55,1.75,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4770S OEM","LGA 1150","2352",1350.66,1.74,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4790K OEM","LGA 1150","2809",1614.9,1.74,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4430S OEM","LGA 1150","1476",850.01,1.74,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4690T OEM","LGA 1150","1683",971.21,1.73,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3570K OEM","LGA 1155","1790",1033,1.73,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4690S OEM","LGA 1150","1842",1063.8,1.73,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 3770","LGA 1155","2344",1365,1.72,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3550","LGA 1155","1707",1002.12,1.7,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3340S","LGA 1155","1434",841.94,1.7,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4820K","LGA 2011","2458",1453,1.69,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4670S OEM","LGA 1150","1609",952.94,1.69,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3340S OEM","LGA 1155","1434",853.01,1.68,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3570S OEM","LGA 1155","1618",964,1.68,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4670T OEM","LGA 1150","1604",962.58,1.67,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3570K","LGA 1155","1790",1079,1.66,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4790 OEM","LGA 1150","2524",1526.92,1.65,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3330S OEM","LGA 1155","1405",850.5,1.65,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 3770S","LGA 1155","2232",1360.82,1.64,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4770K","LGA 1150","2557",1561.92,1.64,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4590T OEM","LGA 1150","1377",848.21,1.62,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 3770S OEM","LGA 1155","2232",1380,1.62,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 3770K","LGA 1155","2405",1496,1.61,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 3570S","LGA 1155","1618",1007.7,1.61,"Intel","Core","4","jednordzeniowa"
